"keywords";"keyword_type"
"augmented reality";"core"
"collaborative virtual environment";"core"
"collaborative virtual environments";"core"
"extended reality";"core"
"haptic feedback";"core"
"haptic interaction";"core"
"mixed reality";"core"
"remote collaboration";"core"
"social interaction";"core"
"social presence";"core"
"user experience";"core"
"user interface";"core"
"user study";"core"
"virtual environment";"core"
"virtual environments";"core"
"virtual reality";"core"
"virtual world";"core"
"collaborative virtual";"core"
"computer interaction";"core"
"experimental study";"core"
"force feedback";"core"
"future research";"core"
"immersive virtual";"core"
"paper presents";"core"
"reality environment";"core"
"reality system";"core"
"remote collaborative";"core"
"shared virtual";"core"
"shared virtual environment";"core"
"verbal communication";"core"
"virtual objects";"core"
"collaborative design";"medium"
"collaborative learning";"medium"
"collaborative work";"medium"
"digital twin";"medium"
"haptic communication";"medium"
"haptic interface";"medium"
"haptic interfaces";"medium"
"head-mounted displays";"medium"
"human-computer interaction";"medium"
"immersive technologies";"medium"
"interaction design";"medium"
"interaction techniques";"medium"
"machine learning";"medium"
"network delay";"medium"
"shared virtual environments";"medium"
"social virtual reality";"medium"
"social vr";"medium"
"tactile feedback";"medium"
"tangible interaction";"medium"
"tangible interface";"medium"
"tangible interfaces";"medium"
"visual feedback";"medium"
"artificial intelligence";"medium"
"assembly tasks";"medium"
"collaboration system";"medium"
"collaborative environment";"medium"
"collaborative haptic";"medium"
"collaborative interaction";"medium"
"collaborative tasks";"medium"
"collaborative virtual reality";"medium"
"comprehensive review";"medium"
"design implications";"medium"
"design process";"medium"
"design space";"medium"
"digital content";"medium"
"distributed virtual";"medium"
"enable users";"medium"
"enables users";"medium"
"experimental results";"medium"
"face-to-face collaboration";"medium"
"great potential";"medium"
"haptic collaboration";"medium"
"haptic collaborative";"medium"
"haptic collaborative virtual";"medium"
"haptic device";"medium"
"haptic interactions";"medium"
"haptic rendering";"medium"
"haptic sensation";"medium"
"haptic virtual";"medium"
"haptic virtual environment";"medium"
"head-mounted display";"medium"
"immersive environment";"medium"
"immersive experience";"medium"
"immersive virtual environment";"medium"
"immersive virtual environments";"medium"
"immersive virtual reality";"medium"
"learning environment";"medium"
"learning environments";"medium"
"learning experience";"medium"
"lessons learned";"medium"
"literature review";"medium"
"mobile device";"medium"
"mobile devices";"medium"
"multiple users";"medium"
"mutual awareness";"medium"
"network traffic";"medium"
"networked virtual";"medium"
"object manipulation";"medium"
"paper describes";"medium"
"paper explores";"medium"
"paper proposes";"medium"
"physical environment";"medium"
"physical environments";"medium"
"physical objects";"medium"
"physical space";"medium"
"physical tasks";"medium"
"physical world";"medium"
"previous research";"medium"
"product development";"medium"
"reality applications";"medium"
"reality environments";"medium"
"reality systems";"medium"
"reality technologies";"medium"
"reality technology";"medium"
"reality virtual";"medium"
"reality virtual reality";"medium"
"recent years";"medium"
"research agenda";"medium"
"research directions";"medium"
"results demonstrate";"medium"
"results showed";"medium"
"results suggest";"medium"
"significantly enhances";"medium"
"social virtual";"medium"
"support collaborative";"medium"
"support remote";"medium"
"virtual reality applications";"medium"
"virtual reality environments";"medium"
"virtual reality system";"medium"
"virtual reality systems";"medium"
"virtual reality virtual";"medium"
"virtual reality virtual reality";"medium"
"virtual scene";"medium"
"virtual space";"medium"
"virtual worlds";"medium"
